,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1746,19944137,Pro Cleaned & Isolated West Loop Coach House ❤️,140919483,Mimi & Paul,,Near West Side,41.88108,-87.66113,Entire home/apt,106,3,173,2020-09-11,4.5,1,346
484,6528643,2bd/2b close to EL-shopping-dining-cafes,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,157,2,25,2020-08-30,0.45,20,356
1929,21169118,Greystone Haven in Logan Square,16027807,Miriam,,Logan Square,41.92395,-87.71211,Entire home/apt,119,2,174,2020-09-16,5.32,2,76
2287,23628273,Cozy space in Lincoln Square,28531511,Melissa,,Lincoln Square,41.9707,-87.69264,Entire home/apt,70,2,27,2020-03-15,1.65,1,153
5244,41392014,"Cozy West Loop Studio with Gym, Pool, W/D, nr. RR & the L, by Blueground",107434423,Blueground,,Near West Side,41.88306,-87.65131,Entire home/apt,98,30,0,,,205,364
480,6488146,Lux Furnished housing KING BED+Master Bathroom,3965428,Rob,,Loop,41.88745,-87.61732,Entire home/apt,129,30,7,2020-08-01,0.11,73,365
5181,41134887,LOOP RANDOLPH TOWER STUDIO GYM POOL DOWNTOWN (30),9400379,ExecuSuite Inc.,,Loop,41.88488,-87.63337,Entire home/apt,80,31,1,2020-04-04,0.18,30,62
5978,44132913,Central Chicago Suite (#1): Access to Roofpatio,170785489,Dmd,,West Town,41.89917,-87.65831,Entire home/apt,133,2,7,2020-08-30,4.77,31,321
1103,13981725,South Loop 2 BEDROOM - MASTER SUITE BATH|By Target,3965428,Rob,,Loop,41.86896,-87.63172,Entire home/apt,220,60,6,2017-07-09,0.12,73,365
10,25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693,-87.65753,Entire home/apt,75,32,47,2020-05-11,0.38,4,62
5406,41976810,"Bright Loop 1BR w/ Gym, Pool, nr. Financial District, by Blueground",107434423,Blueground,,Loop,41.88608,-87.63422,Entire home/apt,103,30,0,,,205,1
4907,39952280,3bd/2ba South Shore Colonial Home,44418,Kimberli,,South Shore,41.76025,-87.57752,Entire home/apt,75,3,2,2020-07-17,0.28,2,90
424,5858718,Wrigleyville/Lakeview Luxury Condo,11968764,Karen,,Lake View,41.9425,-87.65234,Entire home/apt,1232,3,0,,,1,365
3650,33708987,3 BR | Chicago Brewing District Retreat,5228189,Matthew,,West Town,41.89154,-87.67686,Entire home/apt,131,2,34,2020-08-29,2.09,14,0
5672,42940247,Kasa | Chicago | Comfy Studio South Loop Apartment,88566861,Kasa,,Loop,41.86926,-87.63198,Entire home/apt,144,2,1,2020-09-05,1.0,45,349
4250,37248792,Premium 1BR Corner Unit + Balcony and Lake Views!,63313003,K,,Loop,41.88759,-87.61898,Entire home/apt,149,30,0,,,31,365
4856,39769240,"Mod Loop 1BR w/ Gym, Pool, nr. Millennium Park, by Blueground",107434423,Blueground,,Loop,41.88558,-87.6257,Entire home/apt,125,30,0,,,205,299
